ComputerName,HardwareVendor,HardwareModel,device_os
LOFT-M3587,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3569,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3569,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W0654,Dell Inc.,Latitude 3490,Windows
LOFT-SPW-3216,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3061,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3111,Dell Inc.,Latitude 3420,Windows
LOFT-M3465,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3465,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3345,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3366,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3206,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3382,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3361,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3268,Dell Inc.,Latitude 3420,Windows
LOFT-M3474,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3474,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3297,Dell Inc.,Latitude 3420,Windows
LOFT-M3485,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3485,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3485,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3408,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3439,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3442,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3443,Dell Inc.,Latitude 3420,Windows
LOFT-M3487,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3487,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3487,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3493,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3493,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3493,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3494,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3494,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3494,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3267,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3488,Dell Inc.,Latitude 3420,Windows
LOFT-SPM-3596,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3596,Apple Inc.,"MacBookPro16,1",macOS
LOFT-L3087,Dell Inc.,Latitude 3420,LinuxMint
LOFT-M3900,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3900,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3900,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3497,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3497,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3497,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3595,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3595,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3034,Dell Inc.,Latitude 3410,Windows
LOFT-SPW-3224,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3333,Dell Inc.,Latitude 3420,Windows
LOFT-M3492,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3492,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3893,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3893,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3893,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3399,Dell Inc.,Latitude 3420,Windows
LOFT-W0994,Dell Inc.,Latitude 3400,Windows
LOFT-SPW-3449,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3119,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3234,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3484,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3150,Dell Inc.,Latitude 3420,Windows
LOFT-M2514,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2514,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3233,Dell Inc.,Latitude 3420,
LOFT-SPW-3273,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3498,Dell Inc.,Latitude 3420,
LOFT-SPW-3360,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3186,Dell Inc.,Latitude 3420,Windows
LOFT-M3879,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3879,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-SPW-3320,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3376,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3231,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3218,Dell Inc.,Latitude 3420,Windows
LOFT-M0054,Apple Inc.,"MacBookPro15,1",macOS
LOFT-M0054,Apple Inc.,"MacBookPro15,1",macOS
LOFTZOOM-W0966-PRIDE-1,Dell Inc.,Latitude 3400,Windows
LOFTZOOM-W0363-BARRAISERS-3,Dell Inc.,Latitude 3400,Windows
LOFTZOOM-W0398-BELOHORIZONTE-4,Dell Inc.,Latitude 3400,Windows
LOFTZOOM-W0189-BRASIL-4,Dell Inc.,Latitude 3490,Windows
LOFTZOOM-W0832-NUNCAESOUMAP-3,Dell Inc.,Latitude 3400,Windows
LOFT-ZOOM-0583,Dell Inc.,Latitude 3490,Windows
LOFTZOOM-W0495-ILHAVARANDA-4,Dell Inc.,Vostro 5471,Windows
LOFTZOOM-W0608-ILHAHALL-4,Dell Inc.,Latitude 3490,Windows
LOFT-M3869,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3869,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3869,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-W3118,Dell Inc.,Latitude 3420,Windows
LOFT-W3420,Dell Inc.,Latitude 3420,Windows
LOFT-ZOOM-3319,Dell Inc.,Latitude 3420,Windows
LOFT-M3404,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3404,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3404,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3605,Dell Inc.,Latitude 3420,Windows
LOFT-M3411,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3411,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-SPW-3583,Dell Inc.,Latitude 3420,Windows
LOFT-M3774,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3774,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-SPW-3643,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3740,Dell Inc.,Latitude 3420,Windows
LOFT-SPW-3532,Dell Inc.,Latitude 3420,Windows
LOFT-M03448,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M03448,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M03448,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-W3691,Dell Inc.,Latitude 3420,Windows
LOFT-M03416,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M03416,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M03416,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3574,Dell Inc.,Latitude 3420,Windows
LOFT-W3729,Dell Inc.,Latitude 3420,Windows
LOFT-W3630,Dell Inc.,Latitude 3420,Windows
LOFT-W3635,Dell Inc.,Latitude 3420,Windows
LOFT-W3709,Dell Inc.,Latitude 3420,Windows
LOFT-M3752,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3752,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3417,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3417,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3678,Dell Inc.,Latitude 3420,Windows
LOFT-M3440,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3440,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3751,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3751,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-W2393,LENOVO,20RBS7J600,Windows
LOFT-W3685,Dell Inc.,Latitude 3420,Windows
LOFT-W3522,Dell Inc.,Latitude 3420,Windows
LOFT-W3644,Dell Inc.,Latitude 3420,Windows
LOFT-W3666,Dell Inc.,Latitude 3420,Windows
LOFT-W3716,Dell Inc.,Latitude 3420,Windows
LOFT-SPM-2546,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2546,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3429,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3429,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3768,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3768,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3768,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3770,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3770,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2004,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2004,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2004,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3603,Dell Inc.,Latitude 3420,Windows
LOFT-M3765,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3765,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3765,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3763,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3763,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3538,Dell Inc.,Latitude 3420,Windows
LOFT-M3434,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3434,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3794,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3794,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3794,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3612,Dell Inc.,Latitude 3420,Windows
LOFT-W3717,Dell Inc.,Latitude 3420,
LOFT-M3797,Apple Inc.,"MacBook Pro (14-inch, 2021)",macOS
LOFT-M3781,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3781,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2300 (1661),Apple Inc.,"MacBookPro15,4",macOS
LOFT-M2300 (1661),Apple Inc.,"MacBookPro15,4",macOS
LOFT-M3755,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3755,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3755,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-W3572,Dell Inc.,Latitude 3420,Windows
LOFT-W3668,Dell Inc.,Latitude 3420,Windows
LOFT-W3670,Dell Inc.,Latitude 3420,Windows
LOFT-W3042,Dell Inc.,Latitude 3410,Windows
LOFT-W2336,Dell Inc.,Latitude 3410,Windows
LOFT-M3664,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3664,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3858,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3858,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3858,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-W3463,Dell Inc.,Latitude 3420,Windows
LOFT-M3685,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3685,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3685,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3651,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3651,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3651,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3652,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3652,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3595,Dell Inc.,Latitude 3420,Windows
LOFT-W2689,Dell Inc.,Latitude 3410,Windows
LOFT-M3653,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3653,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3413,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3413,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3413,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3733,Dell Inc.,Latitude 3420,Windows
LOFT-M3430,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3430,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3430,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3659,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3659,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3659,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3675,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3675,Apple Inc.,"MacBookPro16,1",macOS
LOFT-L0812,Avell High Performance,Avell G1555 MUV / A62 MUV,Debian
LOFT-W2344,Dell Inc.,Latitude 3410,Windows
LOFT-W3689,Dell Inc.,Latitude 3420,Windows
LOFT-W0992,Dell Inc.,Latitude 3400,Windows
LOFT-L2100,Avell High Performance,Avell G1555 MUV / A62 MUV,Ubuntu
LOFT-SPW-0094,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-0094,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3317,Dell Inc.,Latitude 3420,Windows
LOFT-W2173,Dell Inc.,Latitude 3410,Windows
LOFT-M1007,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M1007,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M1007,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3555,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3555,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3555,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3477,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3477,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3477,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3208,Dell Inc.,Latitude 3420,Windows
LOFT-M2258,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2258,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2258,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3591,Dell Inc.,Latitude 3420,Windows
LOFT-W3397,Dell Inc.,Latitude 3420,Windows
LOFT-W3433,Dell Inc.,Latitude 3420,Windows
LOFT-M2261,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2261,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2261,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M0026,Apple Inc.,"MacBookPro14,1",macOS
LOFT-M0026,Apple Inc.,"MacBookPro14,1",macOS
LOFT-M0026,Apple Inc.,"MacBookPro14,1",macOS
LOFT-M0243,Apple Inc.,"MacBookPro15,3",macOS
LOFT-M0243,Apple Inc.,"MacBookPro15,3",macOS
LOFT-M0243,Apple Inc.,"MacBookPro15,3",macOS
LOFT-W2999,Dell Inc.,Latitude 3410,
LOFT-M2095,Apple Inc.,"MacBookPro15,4",macOS
LOFT-M2095,Apple Inc.,"MacBookPro15,4",macOS
LOFT-M2095,Apple Inc.,"MacBookPro15,4",macOS
LOFT-M0028,Apple Inc.,"MacBookPro15,1",macOS
LOFT-M0028,Apple Inc.,"MacBookPro15,1",macOS
LOFT-M0028,Apple Inc.,"MacBookPro15,1",macOS
LOFT-M3435,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3435,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3455,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3455,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3455,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W4000,Avell High Performance,A70 MOB,Windows
LOFT-BMRW-9763,Dell Inc.,Vostro 3400,Windows
LOFT-W3925,Avell High Performance,A70 MOB,Windows
LOFT-W3565,Dell Inc.,Latitude 3420,Windows
LOFT-W0845,Avell High Performance,Avell G1555 MUV / A62 MUV,Windows
LOFT-M3673,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3673,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3673,Apple Inc.,"MacBook Pro (13-inch, M1, 2020)",macOS
LOFT-M3656,Apple Inc.,"MacBook Pro (16-inch, 2021)",macOS
LOFT-M3656,Apple Inc.,"MacBook Pro (16-inch, 2021)",macOS
LOFT-M3701,Apple Inc.,"MacBook Pro (16-inch, 2021)",macOS
LOFT-M3701,Apple Inc.,"MacBook Pro (16-inch, 2021)",macOS
LOFT-M3786,Apple Inc.,"MacBook Pro (16-inch, 2021)",macOS
LOFT-M3786,Apple Inc.,"MacBook Pro (16-inch, 2021)",macOS
LOFT-M3786,Apple Inc.,"MacBook Pro (16-inch, 2021)",macOS
LOFT-L0740,Dell Inc.,Latitude 3400,Ubuntu
LOFT-W3159,Dell Inc.,Latitude 3420,Windows
LOFT-W3457,Dell Inc.,Latitude 3420,Windows
LOFT-L0808,Avell High Performance,Avell G1555 MUV / A62 MUV,Ubuntu
LOFT-W3745,Dell Inc.,Latitude 3420,Windows
LOFT-W3602,Dell Inc.,Latitude 3420,Windows
LOFT-W3720,Dell Inc.,Latitude 3420,Windows
LOFT-M2013,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2013,Apple Inc.,"MacBookPro16,1",macOS
LOFT-L0835,Avell High Performance,Avell G1555 MUV / A62 MUV,Ubuntu
LOFT-M3692,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3692,Apple Inc.,"MacBookPro16,1",macOS
LOFT-W3235,Dell Inc.,Latitude 3420,Windows
LOFT-W3348,Dell Inc.,Latitude 3420,Windows
LOFT-M3461,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M3461,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M1354,Apple Inc.,"MacBookPro11,4",macOS
LOFT-M1354,Apple Inc.,"MacBookPro11,4",macOS
LOFT-W3222,Dell Inc.,Latitude 3420,Windows
LOFT-W3217,Dell Inc.,Latitude 3420,Windows
LOFT-W2116,Dell Inc.,Latitude 3410,Windows
LOFT-W0811,Avell High Performance,Avell G1555 MUV / A62 MUV,Windows
LOFT-W3637,Dell Inc.,Latitude 3420,Windows
LOFT-M0067,Apple Inc.,"MacBookPro15,1",macOS
LOFT-M0067,Apple Inc.,"MacBookPro15,1",macOS
LOFT-M0067,Apple Inc.,"MacBookPro15,1",macOS
LOFT-M1021,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M1021,Apple Inc.,"MacBookPro16,1",macOS
LOFT-AUGW-0747,LENOVO,20QV000GUS,Windows
LOFT-W3680,Dell Inc.,Latitude 3420,Windows
LOFT-W3537,Dell Inc.,Latitude 3420,Windows
LOFT-M0087,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M0087,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M0087,Apple Inc.,"MacBookPro16,1",macOS
